acei_internal_field,real_ztf_field,ztf_source,unit_real,required_transformation,missing_value_handling,quality_filtering
object_id,objectId / oid,Alert / IRSA,string / int64,Cast to string (e.g. 'ZTF18abukavn' or str(oid)),Drop event if missing or invalid,Reject if duplicate or unassociated
time,mjd / hmjd / jd,Alert (jd) / IRSA (mjd),days (JD or MJD),Convert JD to MJD: MJD = jd - 2400000.5. Compute rel_time = MJD - MJD_t0,Reject epoch if time is NaN or <= 0,Require monotonically sorted time series
band,fid / filtercode / filter,Alert (fid) / IRSA (filtercode),integer {1;2;3} or string {'zg';'zr';'zi'},Map: fid 1 or 'zg' -> 'g' (idx 0); fid 2 or 'zr' -> 'r' (idx 1); fid 3 or 'zi' -> 'i' (idx 2),Skip observation if band not in {g;r;i},Exclude non-optical or unsupported bands
flux,magpsf / mag / forcediffimflux,Alert (magpsf) / IRSA (mag) / FP (forcediffimflux),AB mag / counts,For mag: convert to flux F = 10^(-0.4*(mag - zp)). For FP: F_uJy = 10^(0.4*(23.9 - zpdiff))*forcediffimflux. Normalize by reference peak scale,If mag is NaN or > 90 and no flux available: skip observation or treat as upper limit,Filter out flux values with bad processing flags (procstatus != 0)
flux_err,sigmapsf / magerr / forcediffimfluxunc,Alert (sigmapsf) / IRSA (magerr) / FP (forcediffimfluxunc),AB mag err / counts,Error propagation: sigma_F = (ln(10)/2.5) * F * sigma_mag. Normalize by same reference peak scale,Impute minimum floor (e.g. 0.01 * F) if error <= 0 or NaN,Reject observations where sigma_mag > 1.5 or error is negative
mag,magpsf / mag,Alert / IRSA,AB magnitude,Store raw reported magnitude directly for metadata and baseline checks,Keep as None / NaN if non-detection or difference flux <= 0,Filter unphysical magnitudes (mag < 5 or mag > 30)
mag_err,sigmapsf / magerr,Alert / IRSA,AB magnitude,Store raw reported magnitude error,Keep as None / NaN if mag is missing,Reject if sigmag <= 0 or sigmag > 2.0
is_anomaly,None (derived label),External Catalog (TNS/BTS),boolean flag,Ground-truth label mapped post-inference: True if class in held-out anomaly set,Must NOT be used during inference or feature extraction,Verified spectroscopic ground truth required
true_label,classification / type,TNS / ZTF BTS Catalog,string (e.g. 'SN Ia', 'SLSN-I'),Standardize external astronomical taxonomy to ACEI canonical classes,Mark as 'Unknown' / held-out anomaly if not in known training set,Must be spectroscopically confirmed (reject unverified photometric labels)
ra,ra,Alert / IRSA,decimal degrees,Cast to float64,Drop object if NaN,Reject if ra < 0 or ra > 360
dec,dec,Alert / IRSA,decimal degrees,Cast to float64,Drop object if NaN,Reject if dec < -90 or dec > 90
quality_flag,catflags,IRSA Lightcurve API,16-bit integer bitmask,Evaluate bitmask: catflags == 0 is pristine. Apply BAD_CATFLAGS_MASK = 32768,Exclude individual observation epoch if (catflags & 32768) != 0,Reject epoch if catflags contains critical flags (bits 0-3 or 15)
real_bogus,drb / rb,Alert candidate,float [0.0, 1.0],Use deep real-bogus (drb) if present; fallback to random-forest rb,If missing: default to 1.0 only for trusted archival catalogs,Reject alert detections where drb < 0.70 to eliminate image subtraction artifacts
seeing_fwhm,fwhm,Alert candidate,pixels,Cast to float,If missing: record as None,Reject epoch if fwhm > 5.0 pixels (severe cloud / tracking blur)
chi_psf,chi,IRSA Lightcurve API,float,PSF fit goodness-of-fit statistic,If missing: record as None,Reject epoch if chi > 5.0 (poor PSF fit / cosmic ray contamination)
sharp_psf,sharp,IRSA Lightcurve API,float,PSF morphology parameter,If missing: record as None,Reject epoch if |sharp| > 0.5 (extended artifact or bad subtraction)
